product_position,product_name,product_permalink,image_number,source_url,source_width,source_height,folder,local_path,bytes,download_status,error
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,1,https://assets.bigcartel.com/product_images/425790159/PXL_20260523_185419953.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/01.jpg,216444,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,2,https://assets.bigcartel.com/product_images/425790150/PXL_20260523_185309572.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/02.jpg,220651,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,3,https://assets.bigcartel.com/product_images/425790156/PXL_20260523_185202010.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/03.jpg,197023,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,4,https://assets.bigcartel.com/product_images/425790144/PXL_20260523_185239194.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/04.jpg,162091,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,5,https://assets.bigcartel.com/product_images/425790147/PXL_20260523_185153826.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/05.jpg,150760,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,6,https://assets.bigcartel.com/product_images/425790153/PXL_20260523_185217989.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/06.jpg,167238,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,7,https://assets.bigcartel.com/product_images/425792289/PXL_20260607_174409809~2.jpg,3072,2996,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/07.jpg,368607,OK,
1,BTILC 40th Anniversary Gerald Okamura Figure,btilc-40th-anniversary-gerald-okamura-figure,8,https://assets.bigcartel.com/product_images/425792292/PXL_20260607_174420791.jpg,3072,4080,products/001_btilc-40th-anniversary-gerald-okamura-figure,products/001_btilc-40th-anniversary-gerald-okamura-figure/images/08.jpg,276681,OK,
2,Speclatron NKE6.0 Mutant,speclatron-nke60-mutant,1,https://assets.bigcartel.com/product_images/425790840/PXL_20260607_163651608.jpg,3072,4080,products/002_speclatron-nke60-mutant,products/002_speclatron-nke60-mutant/images/01.jpg,394924,OK,
2,Speclatron NKE6.0 Mutant,speclatron-nke60-mutant,2,https://assets.bigcartel.com/product_images/425790822/PXL_20260526_143615926.jpg,3072,4080,products/002_speclatron-nke60-mutant,products/002_speclatron-nke60-mutant/images/02.jpg,435192,OK,
2,Speclatron NKE6.0 Mutant,speclatron-nke60-mutant,3,https://assets.bigcartel.com/product_images/425790846/PXL_20260607_163717609.jpg,3072,4080,products/002_speclatron-nke60-mutant,products/002_speclatron-nke60-mutant/images/03.jpg,391588,OK,
3,Keshi Cheese Goblin,keshi-cheese-goblin,1,https://assets.bigcartel.com/product_images/387671010/PXL_20240731_173920421.jpg,3558,3072,products/003_keshi-cheese-goblin,products/003_keshi-cheese-goblin/images/01.jpg,367650,OK,
3,Keshi Cheese Goblin,keshi-cheese-goblin,2,https://assets.bigcartel.com/product_images/387690822/PXL_20240531_124134681.jpg,3072,4080,products/003_keshi-cheese-goblin,products/003_keshi-cheese-goblin/images/02.jpg,324413,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,1,https://assets.bigcartel.com/product_images/387662778/z.png,1000,1328,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/01.png,237026,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,2,https://assets.bigcartel.com/product_images/387669747/PXL_20240731_172633250.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/02.jpg,351150,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,3,https://assets.bigcartel.com/product_images/387669741/PXL_20240731_172547184.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/03.jpg,317141,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,4,https://assets.bigcartel.com/product_images/387669735/PXL_20240731_172637912.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/04.jpg,302756,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,5,https://assets.bigcartel.com/product_images/387669732/PXL_20240731_172556552.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/05.jpg,265310,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,6,https://assets.bigcartel.com/product_images/387669744/PXL_20240731_173054387.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/06.jpg,215977,OK,
4,Return of the Kung Fu Claw!,return-of-the-kungfu-claw,7,https://assets.bigcartel.com/product_images/387669636/PXL_20240731_172949070.jpg,4080,3072,products/004_return-of-the-kungfu-claw,products/004_return-of-the-kungfu-claw/images/07.jpg,223166,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,1,https://assets.bigcartel.com/product_images/384156369/1.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/01.png,213894,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,2,https://assets.bigcartel.com/product_images/384156372/2.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/02.png,251827,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,3,https://assets.bigcartel.com/product_images/384156375/3.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/03.png,223754,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,4,https://assets.bigcartel.com/product_images/384156378/4.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/04.png,227524,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,5,https://assets.bigcartel.com/product_images/384156381/5.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/05.png,228923,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,6,https://assets.bigcartel.com/product_images/384156387/6.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/06.png,238074,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,7,https://assets.bigcartel.com/product_images/384156384/7.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/07.png,218382,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,8,https://assets.bigcartel.com/product_images/384156390/8.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/08.png,234040,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,9,https://assets.bigcartel.com/product_images/384156402/9.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/09.png,256321,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,10,https://assets.bigcartel.com/product_images/384156393/10.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/10.png,237825,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,11,https://assets.bigcartel.com/product_images/384156399/11.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/11.png,221001,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,12,https://assets.bigcartel.com/product_images/384156405/12.png,1000,1328,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/12.png,231466,OK,
5,Simian Cheese's American Cheese Goblin,american-cheese-goblin,13,https://assets.bigcartel.com/product_images/384158022/PXL_20240531_124058691-COLLAGE.jpg,2047,2047,products/005_american-cheese-goblin,products/005_american-cheese-goblin/images/13.jpg,538301,OK,
6,Faker HE.-T. (Blue),faker-he-t-blue,1,https://assets.bigcartel.com/product_images/372964858/PXL_20231124_184405887~2.jpg,4080,3072,products/006_faker-he-t-blue,products/006_faker-he-t-blue/images/01.jpg,442588,OK,
6,Faker HE.-T. (Blue),faker-he-t-blue,2,https://assets.bigcartel.com/product_images/372964897/PXL_20231117_164117805.jpg,2990,2993,products/006_faker-he-t-blue,products/006_faker-he-t-blue/images/02.jpg,340281,OK,
6,Faker HE.-T. (Blue),faker-he-t-blue,3,https://assets.bigcartel.com/product_images/372970429/PXL_20231117_164607237.jpg,2919,2921,products/006_faker-he-t-blue,products/006_faker-he-t-blue/images/03.jpg,286632,OK,
7,Random Metal(lic) HE.-T. ,metal-lic-he-t,1,https://assets.bigcartel.com/product_images/372964753/PXL_20231121_011904836.jpg,3072,4080,products/007_metal-lic-he-t,products/007_metal-lic-he-t/images/01.jpg,277846,OK,
7,Random Metal(lic) HE.-T. ,metal-lic-he-t,2,https://assets.bigcartel.com/product_images/372964804/PXL_20231122_235032193.jpg,3072,4080,products/007_metal-lic-he-t,products/007_metal-lic-he-t/images/02.jpg,310694,OK,
7,Random Metal(lic) HE.-T. ,metal-lic-he-t,3,https://assets.bigcartel.com/product_images/372964819/PXL_20231121_212146240.jpg,3072,4080,products/007_metal-lic-he-t,products/007_metal-lic-he-t/images/03.jpg,448680,OK,
7,Random Metal(lic) HE.-T. ,metal-lic-he-t,4,https://assets.bigcartel.com/product_images/372970375/PXL_20231124_231142328.jpg,4080,3072,products/007_metal-lic-he-t,products/007_metal-lic-he-t/images/04.jpg,411132,OK,
